EmployeeID,JobRole,CurrentSkill
1,Sales Executive,Reading Comprehension
1,Sales Executive,Airtable
1,Sales Executive,Monitoring
1,Sales Executive,Adobe Creative Cloud software
1,Sales Executive,Act!
1,Sales Executive,Speaking
1,Sales Executive,Active Listening
1,Sales Executive,Adobe Acrobat
2,Research Scientist,Algorithmic software
2,Research Scientist,Amazon Elastic Compute Cloud EC2
2,Research Scientist,Active Learning
2,Research Scientist,Ada
2,Research Scientist,Advanced numerical software
2,Research Scientist,Amazon DynamoDB
2,Research Scientist,Active Listening
2,Research Scientist,Critical Thinking
4,Laboratory Technician,Linux
4,Laboratory Technician,Microsoft Access
4,Laboratory Technician,Database software
4,Laboratory Technician,Monitoring
5,Research Scientist,Critical Thinking
5,Research Scientist,Amazon DynamoDB
5,Research Scientist,Algorithmic software
5,Research Scientist,3D graphics software
5,Research Scientist,Mathematics
5,Research Scientist,Amazon Elastic Compute Cloud EC2
5,Research Scientist,Active Learning
7,Laboratory Technician,Reading Comprehension
7,Laboratory Technician,Email software
7,Laboratory Technician,Monitoring
7,Laboratory Technician,Science
7,Laboratory Technician,Database software
7,Laboratory Technician,Microsoft Access
8,Laboratory Technician,Microsoft Access
8,Laboratory Technician,Laboratory information management system LIMS
8,Laboratory Technician,Monitoring
8,Laboratory Technician,Linux
8,Laboratory Technician,Critical Thinking
8,Laboratory Technician,Writing
8,Laboratory Technician,Science
10,Laboratory Technician,Science
10,Laboratory Technician,Reading Comprehension
10,Laboratory Technician,Email software
10,Laboratory Technician,Microsoft Access
10,Laboratory Technician,Laboratory information management system LIMS
10,Laboratory Technician,Critical Thinking
11,Laboratory Technician,Writing
11,Laboratory Technician,Microsoft Access
11,Laboratory Technician,Science
11,Laboratory Technician,Reading Comprehension
11,Laboratory Technician,Critical Thinking
11,Laboratory Technician,Linux
11,Laboratory Technician,Monitoring
12,Manufacturing Director,Critical Thinking
12,Manufacturing Director,ABB Optimize IT Predict & Control
12,Manufacturing Director,Speaking
12,Manufacturing Director,Reading Comprehension
12,Manufacturing Director,Active Listening
12,Manufacturing Director,Adobe After Effects
12,Manufacturing Director,Adobe Photoshop
12,Manufacturing Director,Adobe Acrobat
13,Healthcare Representative,Monitoring
13,Healthcare Representative,American Medical Association CodeManager
13,Healthcare Representative,3DGrid HIPAA Checkup
13,Healthcare Representative,AcuStaf
13,Healthcare Representative,Active Listening
13,Healthcare Representative,Reading Comprehension
13,Healthcare Representative,Allscripts healthcare automation software
13,Healthcare Representative,Critical Thinking
14,Laboratory Technician,Writing
14,Laboratory Technician,Linux
14,Laboratory Technician,Microsoft Access
14,Laboratory Technician,Reading Comprehension
14,Laboratory Technician,Monitoring
14,Laboratory Technician,C++
14,Laboratory Technician,Database software
14,Laboratory Technician,Science
14,Laboratory Technician,Critical Thinking
15,Laboratory Technician,C++
15,Laboratory Technician,Writing
15,Laboratory Technician,Database software
15,Laboratory Technician,Email software
15,Laboratory Technician,Laboratory information management system LIMS
15,Laboratory Technician,Critical Thinking
15,Laboratory Technician,Linux
15,Laboratory Technician,Science
15,Laboratory Technician,Microsoft Access
16,Research Scientist,Critical Thinking
16,Research Scientist,Algorithmic software
16,Research Scientist,3D graphics software
16,Research Scientist,Amazon Elastic Compute Cloud EC2
16,Research Scientist,Amazon DynamoDB
16,Research Scientist,Advanced numerical software
18,Laboratory Technician,Laboratory information management system LIMS
18,Laboratory Technician,Linux
18,Laboratory Technician,Monitoring
18,Laboratory Technician,Science
18,Laboratory Technician,Email software
18,Laboratory Technician,Critical Thinking
19,Laboratory Technician,Critical Thinking
19,Laboratory Technician,Reading Comprehension
19,Laboratory Technician,Email software
19,Laboratory Technician,Monitoring
19,Laboratory Technician,Laboratory information management system LIMS
20,Manufacturing Director,Apple Final Cut Pro
20,Manufacturing Director,Adobe After Effects
20,Manufacturing Director,Reading Comprehension
20,Manufacturing Director,Critical Thinking
20,Manufacturing Director,Monitoring
20,Manufacturing Director,Adobe Photoshop
20,Manufacturing Director,ABB Optimize IT Predict & Control
20,Manufacturing Director,Adobe Acrobat
20,Manufacturing Director,Speaking
21,Research Scientist,Reading Comprehension
21,Research Scientist,Mathematics
21,Research Scientist,Ada
21,Research Scientist,Critical Thinking
21,Research Scientist,Amazon DynamoDB
21,Research Scientist,Algorithmic software
22,Laboratory Technician,Linux
22,Laboratory Technician,C++
22,Laboratory Technician,Writing
22,Laboratory Technician,Critical Thinking
22,Laboratory Technician,Database software
23,Manager,Adobe Creative Cloud software
23,Manager,Adobe Acrobat
23,Manager,ActionWare
23,Manager,Reading Comprehension
23,Manager,ADP Workforce Now
23,Manager,Monitoring
23,Manager,Act!
24,Research Scientist,3D graphics software
24,Research Scientist,Algorithmic software
24,Research Scientist,Critical Thinking
24,Research Scientist,Amazon DynamoDB
24,Research Scientist,Mathematics
24,Research Scientist,Active Learning
24,Research Scientist,Advanced numerical software
26,Manufacturing Director,Apple Final Cut Pro
26,Manufacturing Director,Critical Thinking
26,Manufacturing Director,Adobe Photoshop
26,Manufacturing Director,Adobe Acrobat
26,Manufacturing Director,Active Listening
26,Manufacturing Director,Speaking
26,Manufacturing Director,Reading Comprehension
27,Sales Representative,3M Post-it App
27,Sales Representative,Speaking
27,Sales Representative,Adobe Dreamweaver
27,Sales Representative,Writing
27,Sales Representative,Active Listening
28,Research Director,Reading Comprehension
28,Research Director,Critical Thinking
28,Research Director,Active Listening
28,Research Director,Writing
28,Research Director,Clinical trial management software
28,Research Director,Adobe Acrobat
28,Research Director,Adobe Photoshop
28,Research Director,Science
28,Research Director,Graphics software
28,Research Director,ESRI ArcGIS software
30,Research Scientist,Reading Comprehension
30,Research Scientist,Advanced numerical software
30,Research Scientist,Mathematics
30,Research Scientist,Ada
31,Research Scientist,Critical Thinking
31,Research Scientist,Mathematics
31,Research Scientist,Ada
31,Research Scientist,3D graphics software
31,Research Scientist,Active Learning
31,Research Scientist,Active Listening
31,Research Scientist,Advanced numerical software
32,Manager,Monitoring
32,Manager,Adobe Creative Cloud software
32,Manager,Critical Thinking
32,Manager,ActionWare
32,Manager,Active Listening
32,Manager,Adobe Photoshop
32,Manager,Speaking
32,Manager,ADP Workforce Now
33,Research Scientist,Advanced numerical software
33,Research Scientist,Amazon DynamoDB
33,Research Scientist,Ada
33,Research Scientist,Algorithmic software
33,Research Scientist,Active Listening
33,Research Scientist,Active Learning
33,Research Scientist,Mathematics
33,Research Scientist,Reading Comprehension
35,Sales Executive,Active Listening
35,Sales Executive,Critical Thinking
35,Sales Executive,Adobe Creative Cloud software
35,Sales Executive,Apple Keynote
35,Sales Executive,Act!
35,Sales Executive,Monitoring
35,Sales Executive,Speaking
35,Sales Executive,Adobe Acrobat
36,Healthcare Representative,Monitoring
36,Healthcare Representative,Critical Thinking
36,Healthcare Representative,Active Listening
36,Healthcare Representative,Adobe Acrobat
36,Healthcare Representative,AcuStaf
36,Healthcare Representative,Allscripts healthcare automation software
36,Healthcare Representative,Speaking
36,Healthcare Representative,Reading Comprehension
36,Healthcare Representative,Alteer Office
38,Manager,ActionWare
38,Manager,Adobe Photoshop
38,Manager,Monitoring
38,Manager,Adobe Acrobat
38,Manager,Act!
38,Manager,ADP Workforce Now
38,Manager,Adobe Creative Cloud software
38,Manager,Reading Comprehension
38,Manager,Speaking
39,Laboratory Technician,Microsoft Access
39,Laboratory Technician,Critical Thinking
39,Laboratory Technician,Writing
39,Laboratory Technician,Linux
39,Laboratory Technician,Database software
40,Healthcare Representative,American Medical Association CodeManager
40,Healthcare Representative,Monitoring
40,Healthcare Representative,Alteer Office
40,Healthcare Representative,3DGrid HIPAA Checkup
40,Healthcare Representative,Allscripts healthcare automation software
40,Healthcare Representative,Active Listening
40,Healthcare Representative,Speaking
40,Healthcare Representative,Adobe Acrobat
40,Healthcare Representative,Critical Thinking
41,Laboratory Technician,Science
41,Laboratory Technician,Monitoring
41,Laboratory Technician,Writing
41,Laboratory Technician,Reading Comprehension
41,Laboratory Technician,Laboratory information management system LIMS
41,Laboratory Technician,C++
41,Laboratory Technician,Database software
41,Laboratory Technician,Linux
41,Laboratory Technician,Critical Thinking
42,Sales Representative,Adobe Dreamweaver
42,Sales Representative,Reading Comprehension
