EmployeeID,Department,JobRole,Age,MonthlyIncome,AttritionProbability,RiskLevel,EngagementScore,PerformanceRating,WorkLifeBalanceScore,SkillGaps,GapCount,UpskillingRecommendation,TopRiskDrivers
1,Sales,Sales Executive,41,5993,0.8857,HIGH,81,3,1,"Adobe ActionScript, Apple Keynote, Critical Thinking",3,Recommended: Advanced Certification in Adobe ActionScript (Addresses critical gap: Adobe ActionScript),"OverTime_No, TotalSatisfactionScore, StockOptionLevel"
2,Research & Development,Research Scientist,49,5130,0.0816,LOW,100,4,3,"3D graphics software, Mathematics, Reading Comprehension",3,Recommended: Advanced Certification in 3D graphics software (Addresses critical gap: 3D graphics software),"DailyRate, BusinessTravel_Travel_Frequently, ExperienceRatio"
4,Research & Development,Laboratory Technician,37,2090,0.3369,MEDIUM,100,3,3,"C++, Critical Thinking, Email software, Laboratory information management system LIMS, Reading Comprehension, Science, Writing",7,Recommended: Advanced Certification in C++ (Addresses critical gap: C++),"OverTime_No, MonthlyIncome, YearsWithCurrManager"
5,Research & Development,Research Scientist,33,2909,0.4085,MEDIUM,100,3,3,"Active Listening, Ada, Advanced numerical software, Reading Comprehension",4,Recommended: Active Listening and High-Impact Communication for Leaders (Addresses critical gap: Active Listening),"OverTime_No, StockOptionLevel, PercentSalaryHike"
7,Research & Development,Laboratory Technician,27,3468,0.2663,LOW,96,3,3,"C++, Critical Thinking, Laboratory information management system LIMS, Linux, Writing",5,Recommended: Advanced Certification in C++ (Addresses critical gap: C++),"NumCompaniesWorked, Age, JobRole_Laboratory Technician"
8,Research & Development,Laboratory Technician,32,3068,0.0463,LOW,100,3,2,"C++, Database software, Email software, Reading Comprehension",4,Recommended: Advanced Certification in C++ (Addresses critical gap: C++),"BusinessTravel_Travel_Frequently, YearsSinceLastPromotion, StockOptionLevel"
10,Research & Development,Laboratory Technician,59,2670,0.2345,LOW,84,4,2,"C++, Database software, Linux, Monitoring, Writing",5,Recommended: Advanced Certification in C++ (Addresses critical gap: C++),"OverTime_No, YearsWithCurrManager, TotalSatisfactionScore"
11,Research & Development,Laboratory Technician,30,2693,0.2287,LOW,100,4,3,"C++, Database software, Email software, Laboratory information management system LIMS",4,Recommended: Advanced Certification in C++ (Addresses critical gap: C++),"TotalWorkingYears, YearsWithCurrManager, JobRole_Laboratory Technician"
12,Research & Development,Manufacturing Director,38,9526,0.132,LOW,100,4,3,"Adobe InDesign, Apple Final Cut Pro, Monitoring",3,Recommended: Advanced Certification in Adobe InDesign (Addresses critical gap: Adobe InDesign),"DistanceFromHome, BusinessTravel_Travel_Frequently, StockOptionLevel"
13,Research & Development,Healthcare Representative,36,5237,0.0903,LOW,100,3,2,"Adobe Acrobat, Alteer Office, Speaking",3,Recommended: Advanced Certification in Adobe Acrobat (Addresses critical gap: Adobe Acrobat),"NumCompaniesWorked, DistanceFromHome, YearsSinceLastPromotion"
